value,rank,color,sigla_uf,state_id,indicator_id,component_id,component_name,dimension_id,dimension_name,indicator_name,ano,descricao,fonte
"75,73",4,3,RJ,33,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"62,88",10,2,RN,24,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"26,35",24,1,RO,11,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"69,93",7,3,RR,14,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"74,83",5,3,RS,43,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"75,91",3,3,SC,42,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"26,03",25,1,SE,28,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"77,68",1,3,SP,35,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"10,93",26,1,TO,17,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"5,72",26,1,AC,12,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"31,01",23,1,AL,27,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"67,11",8,3,AM,13,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"52,29",17,2,AP,16,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"34,77",22,1,BA,29,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"56,49",15,2,CE,23,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"69,68",1,3,DF,53,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"65,75",10,2,ES,32,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"68,18",4,3,GO,52,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"42,97",21,1,MA,21,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"64,99",11,2,MG,31,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"69,57",2,3,MS,50,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"51,83",18,2,MT,51,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"54,41",16,2,PA,15,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"43,93",20,1,PB,25,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"4,68",27,1,PE,26,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"58,08",14,2,PI,22,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"68,3",3,3,PR,41,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"48,08",19,1,RJ,33,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"23,09",25,1,RN,24,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"58,8",13,2,RO,11,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"67,47",7,3,RR,14,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
