value,rank,color,sigla_uf,state_id,dimension_id,dimension_name
"59,14",8,3,PR,41,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"72,36",2,3,RJ,33,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"22,91",27,1,RN,24,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"50,5",12,2,RO,11,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"48,68",14,2,RR,14,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"61,56",7,3,RS,43,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"61,57",6,3,SC,42,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"40,45",20,1,SE,28,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"64,06",4,3,SP,35,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"49,96",13,2,TO,17,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"20,86",25,1,AC,12,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"47,82",18,2,AL,27,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"20,22",27,1,AM,13,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"20,54",26,1,AP,16,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"46,12",20,1,BA,29,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"60,07",10,2,CE,23,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
65,5,3,DF,53,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"58,97",12,2,ES,32,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"65,18",4,3,GO,52,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"31,11",22,1,MA,21,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"61,56",9,3,MG,31,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
