value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"25,08",22,1,PA,15,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"50,19",13,2,PB,25,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"54,14",12,2,PE,26,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"20,08",25,1,PI,22,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"83,39",2,3,PR,41,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"71,66",7,3,RJ,33,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"43,26",16,2,RN,24,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"47,58",15,2,RO,11,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"14,75",27,1,RR,14,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"79,09",3,3,RS,43,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"76,07",5,3,SC,42,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"59,31",10,2,SE,28,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"78,54",4,3,SP,35,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"30,29",21,1,TO,17,comp_saneamento_basico__residuos_solidos,RESÍDUOS SÓLIDOS,dim_saneamento_basico,SANEAMENTO BÁSICO
"37,06",20,1,AC,12,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"55,68",15,2,AL,27,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"34,45",21,1,AM,13,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"17,66",24,1,AP,16,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"72,14",4,3,BA,29,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"47,15",18,2,CE,23,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
70,6,3,DF,53,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"63,05",12,2,ES,32,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"69,26",7,3,GO,52,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"32,09",23,1,MA,21,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"67,38",8,3,MG,31,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"72,5",3,3,MS,50,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"66,94",9,3,MT,51,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"9,73",26,1,PA,15,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"32,57",22,1,PB,25,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"60,7",13,2,PE,26,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"9,29",27,1,PI,22,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"48,28",17,2,PR,41,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"70,77",5,3,RJ,33,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"12,54",25,1,RN,24,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"45,72",19,1,RO,11,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"60,04",14,2,RR,14,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"51,48",16,2,RS,43,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"74,32",2,3,SC,42,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"65,3",11,2,SE,28,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"74,95",1,3,SP,35,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"65,55",10,2,TO,17,comp_agua__qualidade,QUALIDADE,dim_agua,ÁGUA
"7,79",27,1,AC,12,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"20,15",23,1,AL,27,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"55,12",15,2,AM,13,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"23,22",22,1,AP,16,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"60,34",13,2,BA,29,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"62,19",12,2,CE,23,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"76,07",2,3,DF,53,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"59,16",14,2,ES,32,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"71,34",5,3,GO,52,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"40,35",20,1,MA,21,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"63,09",11,2,MG,31,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"66,85",9,3,MS,50,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"65,94",10,2,MT,51,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"17,45",26,1,PA,15,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"47,43",16,2,PB,25,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"19,51",24,1,PE,26,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"79,55",1,3,PI,22,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"75,47",3,3,PR,41,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"40,38",19,1,RJ,33,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
