DIMENSÃO,COMPONENTE,INDICADOR,ID,INDICADOR NEGATIVADO,ANO,FONTE,DESCRIÇÃO / CÁLCULO,UNIDADE,INTERPRETAÇÃO,
MEIO AMBIENTE E RESILIÊNCIA,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,Proporção de municípios com planejamento de drenagem e manejo de águas pluviais,amb_adapt_6,,2024,SINISA,"Percentual de municípios da UF com mais de 20 mil habitantes que tem o componente de Drenagem e Manejo de Águas Pluviais no Plano de Saneamento Básico (municipal e/ou regional), conforme a Lei Federal nº 11.445/2007, divivido pelo total de municípior com mais de 20 mil habitantes.",% de municípios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior a proporção de municípios com planejamento de drenagem e manejo de águas pluviais.",
MEIO AMBIENTE E RESILIÊNCIA,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,Índice de capacidade adaptativa,amb_adapt_5,,2017,Adapta Brasil,"Índice de Capacidade Adaptativa da biodiversidade por UF - mede a resiliência dos biomas às mudanças climáticas, analisando a integridade da cobertura vegetal, a proteção legal (unidades de conservação) e a eficácia de ações estatais na mitigação de riscos.",Índice (0 - 100),"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor é o índice de capacidade adaptativa.",
MEIO AMBIENTE E RESILIÊNCIA,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,Segurança em barragens,amb_adapt_4,NEGATIVADO,2024,ANA / S2iD,"Filtra as barragens catalogadas pela ANA pelas categorias de risco baixo, médio e alto, e calcula a média aritmética desses valores para determinar o nível de risco médio em cada UF.",Índice (1 - 3),"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a segurança em barragens.",
MEIO AMBIENTE E RESILIÊNCIA,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,Redução de emissões brutas de gases de efeito estufa (CO2e),amb_adapt_2,,2024,SEEG,"Variação anual das emissões de CO2e proporcional à área da UF - Consolida os dados de emissões de CO2e da UF e calcula a redução líquida de toneladas através da diferença entre anos consecutivos, normalizado pela área total da UF.",toneladas CO₂e / km²,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a redução de emissões brutas de gases de efeito estufa (CO2e).",
MEIO AMBIENTE E RESILIÊNCIA,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,Cobertura de corpos d’água e áreas úmidas,amb_adapt_1,,2024,MapBiomas,"Cobertura de corpos d'água e áreas úmidas proporcional à área do estado (agrega superfícies mapeadas como ""água"", ""ambientes marinhos"", ""áreas úmidas"", ""mangues"" e ""florestas inundáveis"").",% de área,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a cobertura de corpos d'água e áreas úmidas.",
SANEAMENTO BÁSICO,RESÍDUOS SÓLIDOS,Adequação da destinação final do resíduo,ag_rs_4,,2024,SINISA,"Percentual dos resíduos sólidos urbanos coletados no município que não tem destinação final inadequada, isto é, enviados para lixão, vazadouro ou aterro controlado.",% de resíduos,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor é a destinação final de resíduos sólidos.",
SANEAMENTO BÁSICO,RESÍDUOS SÓLIDOS,Cobertura de coleta de resíduos sólidos,ag_rs_3,,2024,IBGE/SIDRA,Cobertura da população total com coleta de resíduos sólidos domiciliares (indicador IRS0001).,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a cobertura de coleta de resíduos sólidos.",
SANEAMENTO BÁSICO,RESÍDUOS SÓLIDOS,Taxa de recuperação de materiais recicláveis,ag_rs_1,,2024,SINISA,Recuperação de resíduos recicláveis secos e orgânicos em relação à quantidade total de resíduos coletada (indicador IRS3010).,% de resíduos,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a taxa de recuperação de materiais recicláveis.",
ÁGUA,QUALIDADE DA ÁGUA,Conformidade microbiológica,ag_qa_2,NEGATIVADO,2025,SISÁGUA,Percentual de amostras com presença de coliformes totais (> 0 ou termos textuais positivos) por UF.,% de amostras,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o percentual de conformidade microbiológica.",
ÁGUA,QUALIDADE DA ÁGUA,Conformidade de cloro residual,ag_qa_1,NEGATIVADO,2025,SISÁGUA,"Percentual de amostras com cloro residual livre fora do intervalo regulamentar (0,2 - 0,5 mg / L) por UF.",% de amostras,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o percentual de conformidade de cloro residual.",
SANEAMENTO BÁSICO,ESGOTO,Cobertura do tratamento de esgoto coletado,ag_esg_3,NEGATIVADO,2024,SINISA,Percentual de volume de esgoto coletado e o volume tratado por UF.,% de esgoto tratado,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor é a cobertura do tratamento de esgoto coletado.",
SANEAMENTO BÁSICO,ESGOTO,Percentual de atendimento total de esgoto,ag_esg_2,,2024,SINISA,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,% da população,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o percentual da população atendida por rede coletora de esgoto.",
SANEAMENTO BÁSICO,ESGOTO,Adequação do esgoto sanitário,ag_esg_1,NEGATIVADO,2024,IBGE/SIDRA,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",% domicílios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor é a adequação do esgoto sanitário.",
ÁGUA,DISTRIBUIÇÃO DE ÁGUA,Acesso à rede geral de água,ag_dist_3,,2024,IBGE/SIDRA,Proporção de domicílios ligados à rede pública de abastecimento de água em relação ao universo total de domicílios recenseados na UF.,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é o acesso à rede geral de água.",
ÁGUA,DISTRIBUIÇÃO DE ÁGUA,Taxa de distribuição rural,ag_dist_2_a,,2024,IBGE/SIDRA,Percentual de domicílios e moradores com ligação à rede geral de distribuição de água rural.,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a taxa de distribuição de água para áreas rurais.",
ÁGUA,DISTRIBUIÇÃO DE ÁGUA,Taxa de distribuição urbana,ag_dist_2_b,,2024,IBGE/SIDRA,Percentual de domicílios e moradorescom ligação à rede geral de distribuição de água urbana.,% de domicílios,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a taxa de distribuição de água para áreas urbanas.",
ÁGUA,DISTRIBUIÇÃO DE ÁGUA,Eficiência da distribuição de água,ag_dist_1,NEGATIVADO,2024,SNIS,Percentual de águas não perdidas na distribuição por UF.,% perdas na distribuição,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor a eficiência na distribuição de água.",
