Estado,CNPJ,Entidade,Valor de Repasse,Pontuação,Tipo,Data Início,Data Fim,TipoPublicacao,Mês,SEI,Projeto,Cidade,Local Entidade,Fiscal,Fiscal Suplente,Fiscal Crea
Distrito Federal,35347544000109,ASSOCIACAO DOS ENGENHEIROS AMBIENTAIS E SANITARISTAS DO DISTRITO FEDERAL,"R$ 50.000,00",69,EVENTO,10/09/2025,12/09/2025,EVENTO,SETEMBRO,00.001696/2025-58,II ENCONTRO CENTRO OESTE DE ENGENHARIA AMBIENTAL E SANITÁRIA (II ECOEAS),,Brasília,,,
Maranhão,06352421000168,UNIVERSIDADE ESTADUAL DO MARANHÃO,"R$ 50.000,00",69,EVENTO,20/10/2025,22/10/2025,EVENTO,OUTUBRO,00.001487/2025-12,XII SEMANA ACADÊMICA DAS CIÊNCIAS AGRÁRIAS,,"São Luís, Maranhão",,,
Rio de Janeiro,72060999000175,"FUNDAÇÃO COORDENAÇÃO DE PROJETOS, PESQUISAS E ESTUDOS TECNOLÓGICOS - COPPETEC","R$ 50.000,00",69,EVENTO,04/12/2025,05/12/2025,EVENTO,DEZEMBRO,00.001360/2025-95,22º CONGRESSO RIO DE TRANSPORTES (22º RDT),,Rio de Janeiro,,,
Pernambuco,08796963000155,SINDICATO DOS ENGENHEIROS NO ESTADO DE PERNAMBUCO,"R$ 50.000,00",68,EVENTO,20/06/2025,22/06/2025,EVENTO,JUNHO,00.001393/2025-35,CONGRESSO NORDESTINO DE MULHERES ENGENHEIRAS,,Recife,,,
Piauí,28709437000118,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA MACRORREGIÃO DE PICOS,"R$ 50.000,00",68,EVENTO,18/08/2025,20/08/2025,EVENTO,AGOSTO,00.001253/2025-67,II SEMINÁRIO DA AGRICULTURA PIAUIENSE,,Picos,,,
Rio Grande do Sul,97133920000110,ASSOCIAÇÃO SUL-RIO-GRANDENSE DE ENGENHARIA DE SEGURANÇA DO TRABALHO - ARES,"R$ 50.000,00",68,EVENTO,27/08/2025,29/08/2025,EVENTO,AGOSTO,00.001298/2025-31,X SEMINÁRIO CIDADES EM TRÂNSITO - TRILHOS E PNEUS: MOBILIDADE SEGURA E SUSTENTÁVEL,,Porto Alegre,,,
Amapá,04658423000154,ASSOCIAÇÃO DOS ENGENHEIROS FLORESTAIS DO AMAPÁ - AEFA,"R$ 50.000,00",68,EVENTO,23/09/2025,26/09/2025,EVENTO,SETEMBRO,00.001249/2025-07,IV CONGRESSO AMAPAENSE DE ENGENHARIA FLORESTAL,,Macapá,,,
Rio Grande do Sul,88113147000139,SOCIEDADE DE ENGENHARIA E ARQUITETURA DE SANTA MARIA,"R$ 50.000,00",68,EVENTO,05/11/2025,07/11/2025,EVENTO,NOVEMBRO,00.001256/2025-09,XI SEMINÁRIO CIDADES EM TRÂNSITO,,"Santa Maria, Rio Grande do Sul",,,
Rio Grande do Sul,92675362000109,SINDICATO DOS ENGENHEIROS NO ESTADO DO RIO GRANDE DO SUL,"R$ 50.000,00",68,EVENTO,11/12/2025,11/12/2025,EVENTO,DEZEMBRO,00.001772/2025-25,29ª EDIÇÃO PAINÉIS DA ENGENHARIA:  INTELIGÊNCIA ARTIFICIAL NA ENGENHARIA: DESAFIOS E OPORTUNIDADES,,Porto Alegre,,,
Espírito Santo,27373125000113,SOCIEDADE ESPÍRITO-SANTENSE DE ENGENHEIROS,"R$ 50.000,00",67,EVENTO,29/08/2025,29/08/2025,EVENTO,AGOSTO,00.001363/2025-29,"2ª CONFERÊNCIA ESTADUAL DE ENGENHARIA, AGRONOMIA E GEOCIÊNCIAS PARA SERVIDORES PÚBLICOS",,"Vitória, Espírito Santo",,,
São Paulo,28135593000112,ASSOCIAÇÃO ÁGUA SUSTENTÁVEL,"R$ 50.000,00",67,EVENTO,14/10/2025,15/10/2025,EVENTO,OUTUBRO,00.001885/2025-21,II CARBONLESS SUMMIT 2025,,São Paulo,,,
São Paulo,00831655000101,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE ITAPIRA,"R$ 50.000,00",66,EVENTO,15/09/2025,31/10/2025,EVENTO,SETEMBRO,00.001517/2025-82,1º SIMPÓSIO DE ENGENHARIA & ENERGIA SOLAR,,Itapira,,,
Distrito Federal,62916366001053,SOCIEDADE BRASILEIRA DE GEOLOGIA NÚCLEO BRASILIA,"R$ 50.000,00",66,EVENTO,21/09/2025,24/09/2025,EVENTO,SETEMBRO,00.001663/2025-16,"XVIII SIMPÓSIO DE GEOLOGIA DO CENTRO-OESTE (SGCO) - ""DESAFIOS E OPORTUNIDADES PARA A K170TRANSIÇÃO ENERGÉTICA",,Brasília,,,
São Paulo,04057497000135,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS, AGRÔMOMOS E TÉCNICOS DE ITAPEVI","R$ 50.000,00",66,EVENTO,22/09/2025,31/10/2025,EVENTO,SETEMBRO,00.001566/2025-15,"WORKSHOP PROFISSIONAIS DO FUTURO: A INOVAÇÃO E EMPREENDEDORISMO COM IA - 1A EDIÇÃO, 2025",,Itapevi,,,
Goiás,01619022000105,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DE GOIAS,"R$ 50.000,00",65,EVENTO,25/07/2025,27/07/2025,EVENTO,JULHO,00.001681/2025-90,IV ENESC – CREA-GO JOVEM,,Goiânia,,,
Espírito Santo,54167652000144,"ASSOCIACAO FEMININA DE ENGENHARIA, AGRONOMIA E GEOCIENCIAS DO ESPIRITO SANTO - AFEAG-ES","R$ 50.000,00",65,EVENTO,16/08/2025,17/08/2025,EVENTO,AGOSTO,00.001542/2025-66,"2º SEMINÁRIO CAPIXABA DA MULHER NA ENGENHARIA, AGRONOMIA E GEOCIÊNCIAS",,"Vitória, Espírito Santo",,,
Santa Catarina,97522977000100,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA REGIÃO DE FLORIANÓPOLIS/SC,"R$ 50.000,00",65,EVENTO,08/09/2025,05/10/2025,EVENTO,SETEMBRO,00.001807/2025-26,"EVENTO HÍBRIDO: SUSTENTABILIDADE E ENGENHARIA, AGRONOMIA E GEOCIÊNCIAS - CORRIDA PELO FUTURO SUSTENTÁVEL",,Florianópolis,,,
Rio Grande do Sul,90153842000176,SOCIEDADE DOS ENGENHEIROS E ARQUITETOS DE SANTA CRUZ,"R$ 50.000,00",65,EVENTO,03/11/2025,07/11/2025,EVENTO,NOVEMBRO,00.001303/2025-14,"6A. SEMANA DA ARQUITETURA, ENGENHARIA E CONSTRUÇÃO.",,Santa Cruz do Sul,,,
Minas Gerais,07500552000108,AMPEA -ASSOC.MEDIO PARAOPEBANA DOS PROF.DE ENGENHARIA E AGRONOMIA,"R$ 50.000,00",63,EVENTO,31/10/2025,31/10/2025,EVENTO,OUTUBRO,00.001289/2025-41,"EVENTO COM PALESTRA E DESTACANDO OS PROJETOS DE ENGENHARIA REALIZADOS NAS CIDADES DO MEDIO PARAOPEBA NO ANO DE 2025 ASSIM COMO PROJETOS DESENVOLVIDOS POR ALUNOS COM ENFASE EM TECNOLOGIA E SUSTENTABILIDADE, PARA ESTIMULAR INOVAÇÃO, ATUALIZAÇÃO E GERAÇÃO DE CONHECIMENTO TÉCNICO-CIENCO, DIVULGANDO NA CIDADE AÇÕES E PROJETOS VOLTADOS AO DESENVOLVIMENTO TECNOLÓGICO COM DISCUSSÕES, AÇÕES E ESTUDOS RELACIONADOS AO EXERCÍCIO, REGULAMENTAÇÃO E FISCALIZAÇÃO PROFISSIONAL.",,Betim,,,
Paraná,76654607000157,INSTITUTO DE ENGENHARIA DO PARANÁ,"R$ 50.000,00",61,EVENTO,01/12/2025,06/12/2025,EVENTO,DEZEMBRO,00.001261/2025-11,31° SEMANA DA ENGENHARIA DO IEP,,Curitiba,,,
Mato Grosso,14930515000103,ASSOCIACAO DOS GEOLOGOS DE CUIABA,"R$ 40.000,00",100,PUBLICAÇÃO,28/11/2025,,LIVRO,NOVEMBRO,00.001269/2025-70,LIVRO - GEOPATRIMÔNIO EM GEOPARQUES NO BRASIL,,,,,
Rio Grande do Sul,87752135000191,ASSOCIACAO PROFISSIONAL SUL BRASILEIRA DE GEOLOGOS - APSG,"R$ 40.000,00",94,PUBLICAÇÃO,31/10/2025,,LIVRO,OUTUBRO,00.001401/2025-43,LIVRO - HISTÓRICO DA FORMAÇÃO E DO EXERCÍCIO PROFISSIONAL NAS ENGENHARIAS E NA AGRONOMIA: DO BRASIL COLONIAL AO BRASIL XXI,,,,,
Bahia,14313381000173,ASSOCIAÇÃO BAIANA DE GEÓLOGOS,"R$ 40.000,00",94,PUBLICAÇÃO,15/12/2025,,LIVRO,DEZEMBRO,00.001288/2025-04,"LIVRO - CARTOGRAFIA GEOLÓGICA E GEOÉTICA, LIVRO, 1A. EDIÇAO",,,,,
Espírito Santo,19462832000158,ASSOCIAÇÃO DOS PROFISSIONAIS DE ENGENHARIA AMBIENTAL DO ESPIRITO SANTO,"R$ 40.000,00",90,PUBLICAÇÃO,31/08/2025,,LIVRO,AGOSTO,00.001334/2025-67,LIVRO - SOU ENGENHEIRO E AGORA? REINVENTE SUA CARREIRA E CONQUISTE O MERCADO,,,,,
Santa Catarina,75876706000110,ASSOCIAÇÃO PROFISSIONAIS DOS GEÓLOGOS DO ESTADO DE SC - AGESC,"R$ 40.000,00",84,PUBLICAÇÃO,25/09/2025,,LIVRO,SETEMBRO,00.001687/2025-67,LIVRO - DIÁLOGOS GEOLÓGICOS - É PRECISO CONVERSAR MAIS COM A TERRA,,,,,
Pernambuco,24303422000102,ASSOCIACAO DOS ENG ARQUITETOS E AGRONOMOS DO MEDIO SAO FRANCISCO,"R$ 40.000,00",84,PUBLICAÇÃO,30/09/2025,,LIVRO,SETEMBRO,00.001679/2025-11,LIVRO - MANUAL BÁSICO ENGENHARIA DE IRRIGAÇÃO ELABORAÇÃO DE PROJETOS,,,,,
São Paulo,52502747000141,ASSOCIACAO PAULISTA DE GEOLOGOS - APG,"R$ 40.000,00",84,PUBLICAÇÃO,10/10/2025,,LIVRO,OUTUBRO,00.001591/2025-07,LIVRO - PROJETO DE USINAS HIDRELÉTRICAS - PASSO A PASSO,,,,,
São Paulo,03247823000104,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS AGRÔNOMOS GEÓLOGOS TECNÓLOGOS E TECNICOS DE 2º GRAU DE BARUERI,"R$ 40.000,00",84,PUBLICAÇÃO,30/10/2025,,LIVRO,OUTUBRO,00.001468/2025-88,LIVRO - MANUAL TÉCNICO DOS PROFISSIONAIS DA ENGENHARIA E AGRONOMIA,,,,,
São Paulo,48896997000136,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE OSASCO,"R$ 40.000,00",84,PUBLICAÇÃO,31/10/2025,,LIVRO,OUTUBRO,00.001255/2025-56,LIVRO - ZONEAMENTO E CÓDIGO DE OBRAS E  EDIFICAÇÕES DO MUNICÍPIO DE OSASCO,,,,,
São Paulo,15539734000110,ASSOCIAÇÃO DE ENGENHEIROS E AGRÔNOMOS DE CAJAMAR,"R$ 40.000,00",84,PUBLICAÇÃO,15/09/2025,,LIVRO,SETEMBRO,00.001482/2025-81,"LIVRO - CÓDIGO DE ÉTICA PROFISSIONAL DA ENGENHARIA, DA AGRONOMIA, DA GEOLOGIA, DA GEOGRAFIA E DA METEOROLOGIA",,,,,
Pernambuco,09940750000118,INSTITUTO BRASILEIRO DE AVALIACOES E PERICIAS DE ENGENHARIA DO ESTADO DE PERNAMBUCO,"R$ 40.000,00",60,EVENTO,05/06/2025,04/12/2025,EVENTO,JUNHO,00.001387/2025-88,SIMPÓSIOS IBAPE-PE 2025,,Recife,,,
Minas Gerais,21150776000168,IBAPE-MG,"R$ 40.000,00",60,EVENTO,12/06/2025,12/06/2025,EVENTO,JUNHO,00.001318/2025-74,WORKSHOP SOBRE VÍCIOS CONSTRUTIVOS,,Belo Horizonte,,,
Santa Catarina,78511235000135,ASSOCIAÇÃO DE ENGENHEIROS E AGRONOMOS DE FRAIBURGO- ASSEAF,"R$ 40.000,00",60,EVENTO,13/08/2025,14/08/2025,EVENTO,AGOSTO,00.001569/2025-59,3ª EDIÇÃO DO ENGINOVA - SEMINÁRIO DE ENGENHARIA E INOVAÇÃO,,Fraiburgo,,,
Minas Gerais,21138623000103,ASSOCIAÇÃO SETE LAGOANA DE ENGENHEIROS,"R$ 40.000,00",60,EVENTO,17/09/2025,17/09/2025,EVENTO,SETEMBRO,00.001686/2025-12,4 EDIÇÃO DO ENGENHEIROS FORA DA CURVA,,Sete Lagoas,,,
Mato Grosso do Sul,03862299000181,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DA GRANDE DOURADOS,"R$ 40.000,00",59,EVENTO,04/09/2025,06/09/2025,EVENTO,SETEMBRO,00.001713/2025-57,IX NCONTRO DE PROFISSIONAIS E ESTUDANTES DE AGRONOMIA EPEA E I SIMPÓSIO DE IRRIGAÇÃO DO CENTRO-OESTE: RUMO À PRODUÇÃO SUSTENTÁVEL NA AGRICULTURA FAMILIAR COM FOCO NO USO EFICIENTE DA ÁGUA,,Dourados,,,
São Paulo,65714784000165,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA DE SÃO PAULO,"R$ 40.000,00",59,EVENTO,12/09/2025,12/09/2025,EVENTO,SETEMBRO,00.001495/2025-51,1º SEMINÁRIO DE PERÍCIA TRABALHISTA DO IBAPE/SP: O PAPEL DO PERITO NO CONJUNTO PROBATÓRIO DO DIREITO DO TRABALHO,,São Paulo,,,
Paraná,79320065000174,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS CIVIS DE IRATI,"R$ 40.000,00",58,EVENTO,03/06/2025,07/08/2025,EVENTO,JUNHO,00.001904/2025-19,"PROJETO MANIFESTO ESG: CAPACITAÇÃO EM SUSTENTABILIDADE PARA PROFISSIONAIS E ESTUDANTES DA ENGENHARIA, GEOCIÊNCIA E AGRO",,"Irati, Santa Catarina",,,
Distrito Federal,02009204000119,"ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS MECÂNICOS, SEÇÃO DF","R$ 40.000,00",58,EVENTO,21/08/2025,21/08/2025,EVENTO,AGOSTO,00.001577/2025-03,26º  AQUITEMTECNOLOGIA HVAC-R SOLUÇÕES PARA A DESCARBONIZAÇÃO,,Brasília,,,
Espírito Santo,27055235000137,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO ESPÍRITO SANTO,"R$ 40.000,00",58,EVENTO,30/08/2025,30/08/2025,EVENTO,AGOSTO,00.001656/2025-14,3ª JORNADA DE CAPACITAÇÃO PARA INSPETORES DO CREA-ES – EDIÇÃO 2025,,"Vitória, Espírito Santo",,,
Santa Catarina,83649830000171,ASSOCIAÇÃO  BENEFICENTE DA INDUSTRIA CARBONÍFERA DA SANTA CATARINA,"R$ 40.000,00",57,EVENTO,02/06/2025,04/06/2025,EVENTO,JUNHO,00.001707/2025-08,III SIMPÓSIO DE APLICAÇÕES PARA ENGENHARIA,,Criciúma,,,
Paraná,77804979000185,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS E ARQUITETOS DE MARECHAL CÂNDIDO RONDON,"R$ 40.000,00",57,EVENTO,23/07/2025,27/07/2025,EVENTO,JULHO,00.001264/2025-47,EXPORONDON 2025,,Cândido Rondon,,,
São Paulo,01664591000164,FUNDAÇÃO PARA O DESENVOLVIMENTO DE BAURU,"R$ 40.000,00",57,EVENTO,11/11/2025,13/11/2025,EVENTO,NOVEMBRO,00.001767/2025-12,XXXII SIMPÓSIO DE ENGENHARIA DE PRODUÇÃO – SIMPEP,,Bauru,,,
Sergipe,13033030000146,ASSOCIAÇÃO DE ENGENHEIROS AGRÔNOMOS DE SERGIPE - AEASE,"R$ 40.000,00",56,EVENTO,14/06/2025,14/06/2025,EVENTO,JUNHO,00.001231/2025-05,FEIRA ORGÂNICA E CULTURAL (XII EDIÇÃO),,Aracaju,,,
Paraná,29177350000100,ASSOCIAÇÃO NORTE PARANAENSE DOS ENGENHEIROS AMBIENTAIS,"R$ 40.000,00",56,EVENTO,18/11/2025,20/11/2025,EVENTO,NOVEMBRO,00.001344/2025-01,3º FÓRUM NORTE PARANAENSE EM GESTÃO DE RESÍDUOS SÓLIDOS,,Londrina,,,
Santa Catarina,08038132000114,ASSOCIACAO BRASILEIRA DE ENGENHEIROS ELETRICISTAS SC- A.B.E.E-SC,"R$ 40.000,00",55,EVENTO,12/06/2025,12/06/2025,EVENTO,JUNHO,00.001661/2025-19,IMPACTOS E SOLUÇÕES NO CRESCIMENTO DA GERAÇÃO DISTRIBUÍDA,,Rio do Sul,,,
Santa Catarina,82747460000142,ASSOCIAÇÃO DOS MUNICÍPIOS DA REGIÃO DA FOZ DO RIO ITAJAÍ - AMFRI,"R$ 40.000,00",55,EVENTO,01/07/2025,15/12/2025,EVENTO,JULHO,00.001781/2025-16,PROGRAMA REGIONAL DE CAPACITAÇÃO CONTINUADA – PRECAP MEIO AMBIENTE - 2ª EDIÇÃO,,Itajaí,,,
Santa Catarina,82517897000190,SINDICATO DOS ENGENHEIROS NO ESTADO DE SANTA CATARINA - SENGE-SC,"R$ 40.000,00",55,EVENTO,08/09/2025,08/09/2025,EVENTO,SETEMBRO,00.001449/2025-51,SEMINÁRIO CONSTRUÇÕES INTELIGENTES: PONTES E PORTOS,,Florianópolis,,,
Distrito Federal,15021685000129,SINDICATO NACIONAL DOS PERITOS FEDERAIS AGRÁRIOS,"R$ 40.000,00",55,EVENTO,06/10/2025,09/10/2025,EVENTO,OUTUBRO,00.001436/2025-82,IV CONGRESSO NACIONAL DOS PERITOS FEDERAIS TERRITORIAIS,,Brasília,,,
Santa Catarina,83870840000132,ASSOCIAÇÃO REGIONAL DE ENGENHEIROS E ARQUITETOS - AREA-TB,"R$ 40.000,00",54,EVENTO,14/07/2025,14/07/2025,EVENTO,JULHO,00.001305/2025-03,CURSO PRÁTICO DE ACESSIBILIDADE EM EDIFICAÇÕES – OFICINAS PRÁTICAS,,Tubarão,,,
Pernambuco,22413676000140,ASSOCIACAO DOS ENGENHEIROS AMBIENTAIS E ENGENHEIROS AMBIENTAIS E SANITARISTAS DE PERNAMBUCO,"R$ 40.000,00",53,EVENTO,04/06/2025,06/06/2025,EVENTO,JUNHO,00.001374/2025-17,I FÓRUM TEMÁTICO: ENGENHARIA AMBIENTAL E O SEU PAPEL NA REDUÇÃO DOS IMPACTOS DAS MUDANÇAS CLIMÁTICAS,,Recife,,,
São Paulo,53604090000141,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS ELETRICISTAS DE SÃO PAULO,"R$ 40.000,00",53,EVENTO,15/09/2025,16/09/2025,EVENTO,SETEMBRO,00.001473/2025-91,ELECTRIC MOBILITY SUMMIT,,São Paulo,,,
Espírito Santo,28420263000179,ASSOCIACAO DOS ENGENHEIROS FLORESTAIS DO ESPIRITO SANTO,"R$ 40.000,00",53,EVENTO,14/10/2025,16/10/2025,EVENTO,OUTUBRO,00.001795/2025-30,V SIMPÓSIO DE CIÊNCIAS FLORESTAIS DO ESPÍRITO SANTO (V SCIFLOR-ES) – MERCADO DE CARBONO: OS BENEFÍCIOS PARA O SETOR FLORESTAL,,"Vitória, Espírito Santo",,,
Minas Gerais,09381295000168,INSTITUTO ANTONIO ERNESTO DE SALVO - INAES,"R$ 40.000,00",53,EVENTO,13/06/2025,14/06/2025,EVENTO,JUNHO,00.001524/2025-84,II SEMINÁRIO MINEIRO DE IRRIGAÇÃO,,Janaúba,,,
Amazonas,32002783000139,ASSOCIAÇÃO AMAZONENSE DOS ENGENHEIROS DE SEGURANÇA DO TRABALHO,"R$ 40.000,00",52,EVENTO,23/07/2025,25/07/2025,EVENTO,JULHO,00.001583/2025-52,I SEMINÁRIO DE SAÚDE E SEGURANÇA DO TRABALHO DA AMAZÔNIA: DESAFIOS E SOLUÇÕES,,Manaus,,,
Rio Grande do Sul,90886805000177,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE PORTO ALEGRE - AEAPA,"R$ 40.000,00",52,EVENTO,27/08/2025,29/08/2025,EVENTO,AGOSTO,00.001505/2025-58,III SEMINÁRIO DE DIREITO AGRÁRIO PARA ENGENHEIROS,,Porto Alegre,,,
São Paulo,21736778000133,ASSOCIAÇÃO DE ENGENHEIROS E AGRÔNOMOS DE MAUÁ - ASSEAM,"R$ 40.000,00",52,EVENTO,15/11/2025,29/11/2025,EVENTO,NOVEMBRO,00.001440/2025-41,SEMINÁRIO PRESENCIAL “SEGURANÇA DE PROCESSO EM FOCO: GESTÃO BASEADA EM RISCO COMO UM PILAR DA SUSTENTABILIDADE DO NEGÓCIO”,,Mauá,,,
Goiás,08861520000109,ASSOCIACAO GOIANA DE ENGENHEIROS AMBIENTAIS - AGEAMB,"R$ 40.000,00",51,EVENTO,23/06/2025,25/06/2025,EVENTO,JUNHO,00.001268/2025-25,1º HACKATHON SANEAMENTO,,Goiânia,,,
São Paulo,24792255000100,ASPEAF - ASSOCIAÇÃO DE ENGENHARA E AGROOMIA DE FERRAZ DE VASCNCELOS,"R$ 40.000,00",51,EVENTO,01/08/2025,31/08/2025,EVENTO,AGOSTO,00.001567/2025-60,FÓRUM DE TECNOLOGIA E ENGENHARIA,,Ferraz de Vasconcelos,,,
São Paulo,49985039000102,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DE CATANDUVA,"R$ 40.000,00",51,EVENTO,01/08/2025,31/12/2025,EVENTO,AGOSTO,00.001503/2025-69,FÓRUM DE TECNOLOGIA NAS ENGENHARIAS DE CATANDUVA E REGIÃO,,Catanduva,,,
São Paulo,51870541000101,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DA REGIÃO DE MOGI GUAÇU,"R$ 40.000,00",51,EVENTO,01/08/2025,31/08/2025,EVENTO,AGOSTO,00.001285/2025-62,FÓRUM DE TECNOLOGIA NAS ENGENHARIAS DE MOGI GUAÇÚ E REGIÃO,,Mogi Guaçu,,,
São Paulo,57715484000120,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE ITÁPOLIS","R$ 40.000,00",51,EVENTO,01/08/2025,31/08/2025,EVENTO,AGOSTO,00.001810/2025-40,WORKSHOP ENGENHARIA E TECNOLOGIA PARA UM FUTURO SUSTENTÁVEL: POLÍTICAS PÚBLICAS E INOVAÇÃO FOMENTANDO OS ODS DA ONU,,Itápolis,,,
São Paulo,51902617000133,"ASSOCIAÇÃO PINHALENSE DE ENGENHEIROS, ARQUITETOS E AGRÔNOMOS","R$ 40.000,00",51,EVENTO,01/08/2025,10/12/2025,EVENTO,AGOSTO,00.001665/2025-05,WORKSHOP ENGENHARIA E TECNOLOGIA NO AGRONEGÓCIO PARA UM FUTURO SUSTENTÁVEL,,Espírito Santo do Pinhal,,,
São Paulo,42509190000117,FEDERAÇÃO BRASILEIRA DE ASSOCIAÇÕES DE ENGENHEIROS,"R$ 40.000,00",51,EVENTO,01/08/2025,11/12/2025,EVENTO,AGOSTO,00.001380/2025-66,FÓRUM FEBRAE DE TECNOLOGIAS NA AGRONOMIA,,Piracicaba,,,
São Paulo,54407911000167,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE PIRACICABA,"R$ 40.000,00",51,EVENTO,15/08/2025,16/08/2025,EVENTO,AGOSTO,00.001447/2025-62,WORKSHOP – EXPOSIÇÃO DE INOVAÇÃO E SUSTENTABILIDADE NA CONTRUÇÃO CIVIL,,Piracicaba,,,
São Paulo,51901049000156,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE SUMARÉ,"R$ 40.000,00",51,EVENTO,01/09/2025,30/09/2025,EVENTO,SETEMBRO,00.001548/2025-33,1º WORKSHOP DE INOVAÇÃO DE SUMARÉ - SEGURANÇA DO TRABALHO,,Sumaré,,,
São Paulo,03558622000128,ASSOCIAÇÃO DOS PROFISSIONAIS DE ENGENHARIA E ARQUITETURA DE PARAGUAÇU PAULISTA,"R$ 40.000,00",51,EVENTO,01/09/2025,30/09/2025,EVENTO,SETEMBRO,00.001408/2025-65,WORKSHOP DE ENGENHARIA E INOVAÇÃO NO AGRONEGÓCIO,,Paraguaçu Paulista,,,
São Paulo,48673198000109,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE UBATUBA-AEAU,"R$ 40.000,00",51,EVENTO,13/09/2025,13/09/2025,EVENTO,SETEMBRO,00.001425/2025-01,FÓRUM ENGENHARIA 4.0: SOLUÇÕES SUSTENTÁVEIS PARA O SANEAMENTO BÁSICO NO LITORAL,,Ubatuba,,,
São Paulo,51899235000106,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE SÃO JOÃO DA BOA VISTA","R$ 40.000,00",51,EVENTO,24/09/2025,25/09/2025,EVENTO,SETEMBRO,00.001616/2025-64,"WORKSHOP ENGENHARIA E INOVAÇÃO NA INDÚSTRIA, CONSTRUÇÃO CIVIL E NO AGRONEGÓCIO",,São João da Boa Vista,,,
São Paulo,50216951000170,"ASSOCIACAO DOS ENGENHEIROS,ARQUITETOS E AGRONOMOS DA ESTANCIA HIDROMINERAL DE POA","R$ 40.000,00",51,EVENTO,01/10/2025,31/10/2025,EVENTO,OUTUBRO,00.001546/2025-44,WORKSHOP ENGENHARIA E INOVAÇÃO NA INDÚSTRIA E CONSTRUÇÃO CIVIL,,Poá,,,
São Paulo,53308870000199,ASSOCIAÇÃO DOS ENGENHEIROS E AGRÔNOMOS DE PRESIDENTE EPITÁCIO,"R$ 40.000,00",51,EVENTO,15/10/2025,16/10/2025,EVENTO,OUTUBRO,00.001700/2025-88,2º WORKSHOP ENGENHARIA E INOVAÇÃO – EFICIÊNCIA ENERGÉTICA E TENDÊNCIAS DE INTERIORES,,Presidente Epitácio,,,
São Paulo,51521870000147,ASSOCIAÇÃO DOS ENGENHEIROS E AGRÔNOMOS DE SÃO MANUEL,"R$ 40.000,00",51,EVENTO,18/10/2025,18/10/2025,EVENTO,OUTUBRO,00.001618/2025-53,FÓRUM AENSAM DE ENGENHARIAS E DESENVOLVIMENTO ECONÔMICO,,São Manuel,,,
São Paulo,49899321000169,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE ASSIS E REGIÃO","R$ 40.000,00",51,EVENTO,22/10/2025,24/10/2025,EVENTO,OUTUBRO,00.001710/2025-13,2º WORKSHOP DE INOVAÇÃO DE ASSIS - DESAFIO DE INOVAÇÃO,,Assis,,,
São Paulo,51918381000123,ASSOCIAÇÃO DE ENGENHEIROS E TÉCNICOS DE MOJI MIRIM,"R$ 40.000,00",51,EVENTO,03/11/2025,04/11/2025,EVENTO,NOVEMBRO,00.001599/2025-65,WORKSHOP ENGENHARIA E INOVAÇÃO NA INDÚSTRIA,,Mogi Mirim,,,
Goiás,02741274000167,ASSOCIAÇÃO DOS ENGENHEIROS E AGRONOMOS DE JATAI,"R$ 40.000,00",51,EVENTO,06/11/2025,06/11/2025,EVENTO,NOVEMBRO,00.001739/2025-03,NOITE DAS ENGENHARIAS E AGRONOMIA,,Jataí,,,
Paraná,77971489000173,ASSOCIACAO PROFISSIONAL DOS GEOLOGOS DO PARANA - AGEPAR,"R$ 30.000,00",79,PUBLICAÇÃO,17/07/2025,,LIVRO,JULHO,00.001825/2025-16,LIVRO - SETE QUEDAS A ITAIPU: HISTORIOGRAFIA DE UM PROJETO,,,,,
Minas Gerais,18295766000106,ASSOCIAÇÃO DOS ANTIGOS ALUNOS DA ESCOLA DE MINAS,"R$ 30.000,00",76,PUBLICAÇÃO,12/10/2025,,LIVRO,OUTUBRO,00.001376/2025-06,LIVRO - O MINDSET DO ENGENHEIRO MODERNO,,,,,
